code,description
K35.20,Acute appendicitis with generalized peritonitis without abscess
K35.30,Acute appendicitis with localized peritonitis without perforation or gangrene
K35.80,Unspecified acute appendicitis
K35.89,Other acute appendicitis
K36,Other appendicitis
K37,Unspecified appendicitis
E11.9,Type 2 diabetes mellitus without complications
E11.65,Type 2 diabetes mellitus with hyperglycemia
E11.649,Type 2 diabetes mellitus with hypoglycemia without coma
E11.8,Type 2 diabetes mellitus with unspecified complications
E10.65,Type 1 diabetes mellitus with hyperglycemia
E13.65,Other specified diabetes mellitus with hyperglycemia
A09,Infectious gastroenteritis and colitis unspecified
A08.4,Viral intestinal infection unspecified
A02.0,Salmonella enteritis
K52.9,Noninfective gastroenteritis and colitis unspecified
E86.0,Dehydration
K40.90,Unilateral inguinal hernia without obstruction or gangrene not specified as recurrent
K40.91,Unilateral inguinal hernia without obstruction or gangrene recurrent
K40.20,Bilateral inguinal hernia without obstruction or gangrene not specified as recurrent
K40.40,Unilateral inguinal hernia with gangrene not specified as recurrent
K41.90,Unilateral femoral hernia without obstruction or gangrene not specified as recurrent
K42.9,Umbilical hernia without obstruction or gangrene
K43.9,Ventral hernia without obstruction or gangrene
J18.9,Pneumonia unspecified organism
J18.1,Lobar pneumonia unspecified organism
J15.9,Unspecified bacterial pneumonia
J12.9,Viral pneumonia unspecified
J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection
J20.9,Acute bronchitis unspecified
K80.00,Calculus of gallbladder with acute cholecystitis without obstruction
K80.01,Calculus of gallbladder with acute cholecystitis with obstruction
K80.10,Calculus of gallbladder with chronic cholecystitis without obstruction
K80.20,Calculus of gallbladder without cholecystitis without obstruction
K81.0,Acute cholecystitis
K81.9,Cholecystitis unspecified
K85.90,Acute pancreatitis without necrosis or infection unspecified
N39.0,Urinary tract infection site not specified
I10,Essential primary hypertension
J06.9,Acute upper respiratory infection unspecified
R50.9,Fever unspecified
K59.00,Constipation unspecified
R10.9,Unspecified abdominal pain
K29.70,Gastritis unspecified without bleeding
A90,Dengue fever classical dengue
B54,Unspecified malaria
E78.5,Hyperlipidemia unspecified
N20.0,Calculus of kidney
N18.9,Chronic kidney disease unspecified
I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris
